Sex.beta	Age.beta	Hypertension.beta	Sex.se	Age.se	Hypertension.se	Death.rate	Sex.rate	Age.rate	Hypertension.rate
0.5857111430559129	2.09213237429065	0.6103067330337739	0.107250559139676	0.0857687032310645	0.0768692307123284	0.0229002507163324	0.5	0.31134989926124895	0.46035370494739203
0.47732096837039	2.0876064279073403	0.520805253753563	0.11673148628043302	0.0827918566133999	0.095755354301892	0.0229002507163324	0.5	0.31134989926124895	0.46035370494739203
0.5192239709708231	2.08973845762878	0.467951424608904	0.0772378187779787	0.0931677633704848	0.10766754448482599	0.0242167980011532	0.5	0.31134989926124895	0.46035370494739203
0.556642294847075	2.16695981147466	0.465881574958762	0.0686077012599456	0.10022078722328899	0.11583213283224301	0.0229002507163324	0.5	0.31134989926124895	0.289769420192523
0.5370977674168259	2.09168689177565	0.454568980622159	0.0870435381783076	0.10514535104188699	0.0929043139991636	0.0229002507163324	0.5	0.31134989926124895	0.289769420192523
0.469631447629743	1.9712120713726202	0.427725990003935	0.0614390857158254	0.0764402100465314	0.0823760120657374	0.0242167980011532	0.5	0.31134989926124895	0.289769420192523
0.551041259437175	2.1970091931195	0.43436667780806	0.0665930120096369	0.16389667180855802	0.14203848951854	0.0229002507163324	0.5	0.31134989926124895	0.12891600999423403
0.513796966099983	2.17466608653215	0.34576844315564	0.0722380349211573	0.13448411642321	0.0823105337337029	0.0229002507163324	0.5	0.31134989926124895	0.12891600999423403
0.519317503902384	2.12269710399024	0.337578154826187	0.064205968640968	0.0788905723716983	0.0714438658801831	0.0242167980011532	0.5	0.31134989926124895	0.12891600999423403
0.5464332383229671	2.11591151351371	0.556671273200542	0.13525969637788499	0.10419595826864998	0.11133920546549	0.0229002507163324	0.5	0.311358345272206	0.46035370494739203
0.49498104911425395	2.06008720396613	0.422990421367154	0.0902142546111121	0.0808204720439057	0.0772318906163568	0.0229002507163324	0.5	0.311358345272206	0.46035370494739203
0.474234845872887	2.03317855433248	0.47772329968987504	0.0853692326061257	0.11116767973096901	0.11298527928141301	0.0242167980011532	0.5	0.311358345272206	0.46035370494739203
0.53343726936103	2.11928186258699	0.41860096155541904	0.0846372630836276	0.10049644105324	0.0754616276665986	0.0229002507163324	0.5	0.311358345272206	0.289769420192523
0.535329519100158	2.22419769014965	0.383217376531635	0.0873381723030007	0.12910021723661502	0.0981944363860058	0.0229002507163324	0.5	0.311358345272206	0.289769420192523
0.515870064700985	2.08356490165421	0.394146923123859	0.0813465399272975	0.11502913015437899	0.0824007065256069	0.0242167980011532	0.5	0.311358345272206	0.289769420192523
0.5067276700924249	2.26037562613207	0.34502426900245897	0.0733712514289256	0.0984943280063942	0.0850917547906807	0.0229002507163324	0.5	0.311358345272206	0.12891600999423403
0.546466252725037	2.14122630193346	0.35390037683901004	0.110726277951966	0.11620397808949301	0.0917579713783443	0.0229002507163324	0.5	0.311358345272206	0.12891600999423403
0.471299134258755	2.09735328250057	0.31359126450076596	0.0894187332459987	0.0895483817274121	0.0790498966822782	0.0242167980011532	0.5	0.311358345272206	0.12891600999423403
0.521489163390502	2.07791197580068	0.6064881343302879	0.10236478234966802	0.127591980716845	0.11387558019163599	0.0229002507163324	0.5144392209536599	0.31134989926124895	0.46035370494739203
0.5122843762286751	2.08783183858747	0.6060619692589321	0.0885900912196075	0.0965603519396641	0.0892001282789478	0.0229002507163324	0.5144392209536599	0.31134989926124895	0.46035370494739203
